dailyconfirmed,dailydeceased,dailyrecovered,date,totalconfirmed,totaldeceased,totalrecovered
1,0,0,30/01/2020,1,0,0
0,0,0,31/01/2020,1,0,0
0,0,0,01/02/2020,1,0,0
1,0,0,02/02/2020,2,0,0
1,0,0,03/02/2020,3,0,0
0,0,0,04/02/2020,3,0,0
0,0,0,05/02/2020,3,0,0
0,0,0,06/02/2020,3,0,0
0,0,0,07/02/2020,3,0,0
0,0,0,08/02/2020,3,0,0
0,0,0,09/02/2020,3,0,0
0,0,0,10/02/2020,3,0,0
0,0,0,11/02/2020,3,0,0
0,0,0,12/02/2020,3,0,0
0,0,1,13/02/2020,3,0,1
0,0,0,14/02/2020,3,0,1
0,0,0,15/02/2020,3,0,1
0,0,1,16/02/2020,3,0,2
0,0,0,17/02/2020,3,0,2
0,0,0,18/02/2020,3,0,2
0,0,0,19/02/2020,3,0,2
0,0,1,20/02/2020,3,0,3
0,0,0,21/02/2020,3,0,3
0,0,0,22/02/2020,3,0,3
0,0,0,23/02/2020,3,0,3
0,0,0,24/02/2020,3,0,3
0,0,0,25/02/2020,3,0,3
0,0,0,26/02/2020,3,0,3
0,0,0,27/02/2020,3,0,3
0,0,0,28/02/2020,3,0,3
0,0,0,29/02/2020,3,0,3
0,0,0,01/03/2020,3,0,3
2,0,0,02/03/2020,5,0,3
1,0,0,03/03/2020,6,0,3
22,0,0,04/03/2020,28,0,3
2,0,0,05/03/2020,30,0,3
1,0,0,06/03/2020,31,0,3
3,0,0,07/03/2020,34,0,3
5,0,0,08/03/2020,39,0,3
9,0,0,09/03/2020,48,0,3
15,0,1,10/03/2020,63,0,4
8,0,0,11/03/2020,71,0,4
10,1,0,12/03/2020,81,1,4
10,0,6,13/03/2020,91,1,10
11,1,0,14/03/2020,102,2,10
10,0,3,15/03/2020,112,2,13
14,0,1,16/03/2020,126,2,14
20,1,1,17/03/2020,146,3,15
25,0,0,18/03/2020,171,3,15
27,1,5,19/03/2020,198,4,20
58,0,3,20/03/2020,256,4,23
78,0,0,21/03/2020,334,4,23
69,3,0,22/03/2020,403,7,23
94,2,2,23/03/2020,497,9,25
74,1,15,24/03/2020,571,10,40
86,1,3,25/03/2020,657,11,43
73,5,7,26/03/2020,730,16,50
153,3,25,27/03/2020,883,19,75
136,5,10,28/03/2020,1019,24,85
120,3,17,29/03/2020,1139,27,102
187,14,35,30/03/2020,1326,41,137
309,6,13,31/03/2020,1635,47,150
424,6,19,01/04/2020,2059,53,169
486,16,22,02/04/2020,2545,69,191
560,14,39,03/04/2020,3105,83,230
579,13,56,04/04/2020,3684,96,286
609,22,43,05/04/2020,4293,118,329
484,16,65,06/04/2020,4777,134,394
573,27,75,07/04/2020,5350,161,469
565,20,96,08/04/2020,5915,181,565
813,46,70,09/04/2020,6728,227,635
871,22,151,10/04/2020,7599,249,786
854,41,186,11/04/2020,8453,290,972
758,42,114,12/04/2020,9211,332,1086
1243,27,112,13/04/2020,10454,359,1198
1031,37,167,14/04/2020,11485,396,1365
886,27,144,15/04/2020,12371,423,1509
1061,26,258,16/04/2020,13432,449,1767
922,38,273,17/04/2020,14354,487,2040
1371,35,426,18/04/2020,15725,522,2466
1580,38,388,19/04/2020,17305,560,2854
1239,33,419,20/04/2020,18544,593,3273
1537,53,703,21/04/2020,20081,646,3976
1292,36,394,22/04/2020,21373,682,4370
1667,40,642,23/04/2020,23040,722,5012
1408,59,484,24/04/2020,24448,781,5496
1835,44,442,25/04/2020,26283,825,5938
1607,56,585,26/04/2020,27890,881,6523
1561,58,614,27/04/2020,29451,939,7137
